File Name,Relative Path,Fish Computer Path,Species,Single Fish,Comments,Segmentable,box annotated,mask annotated,train/val/test,Mask Annotator Name,Fish Computer Folder,Date Data Added,Keypoint annotated,Keypoint Annotator Name,Box Annotator Name,Duplicate,CVAT Task ID,Multifish Order
/Credit/2024/17062024-05072024/24 06 17 12 42/36.mp4,,/data/remora/Credit/2024/17062024-05072024/24  06  17  12  42/36.mp4,Atlantic Salmon,1,Turbid,0,1,,train,,Credit__2024__17062024-05072024__24  06  17  12  42__36,2025-06-18,,,M.Ford,,,
/Credit/2024/08232024-08262024/24 08 23 11 55/124.mp4,,/data/remora/Credit/2024/08232024-08262024/24  08  23  11  55/124.mp4,Chinook,0,lamprey x 2,,1,,train,,Credit__2024__08232024-08262024__24  08  23  11  55__124,2025-06-18,,,M.Ford,,,
/Credit/2024/08232024-08262024/24 08 23 11 55/41.mp4,,/data/remora/Credit/2024/08232024-08262024/24  08  23  11  55/41.mp4,Chinook,0,lamprey,,1,,train,,Credit__2024__08232024-08262024__24  08  23  11  55__41,2025-06-18,,,M.Ford,,,
/Credit/2024/08232024-08262024/24 08 23 11 55/95.mp4,,/data/remora/Credit/2024/08232024-08262024/24  08  23  11  55/95.mp4,Chinook,0,lamprey,,1,,train,,Credit__2024__08232024-08262024__24  08  23  11  55__95,2025-06-18,,,M.Ford,,,
\Ganaraska\10012024-10072024\24  10  01  11  32\592.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Ganaraska\10012024-10072024\24  10  01  11  32\592.mp4,/data/remora/Ganaraska/Ganaraska 2024/10012024-10072024/24  10  01  11  32/592.mp4,Coho,1,"lamprey scar, low contrast",0,1,,train,,Ganaraska__Ganaraska 2024__10012024-10072024__24  10  01  11  32__592,,,,M.Ford,,,
\Credit\09222023-09252023\23 09 22 12 11\841.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\09222023-09252023\23 09 22 12 11\841.mp4,/data/remora/Credit/2023/09222023-09252023/23  09  22  12  11/841.mp4,Multiple_Species,0,Brown and 3 chinook,1,1,,train,,Credit__2023__09222023-09252023__23  09  22  12  11__841,,,,M.Ford,,,
\Credit\09182023-09222023\23 09 18 12 39\52.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\09182023-09222023\23 09 18 12 39\52.mp4,/data/remora/Credit/2023/09182023-09222023/23  09  18  12  39/52.mp4,Multiple_Species,0,"Brown and chinook, very active, skip for now",0,1,,train,,Credit__2023__09182023-09222023__23  09  18  12  39__52,,,,M.Ford,,,
\Ganaraska\08252023-08282023\23 08 25 09 12\442.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\08252023-08282023\23 08 25 09 12\442.mp4,/data/remora/Ganaraska/Ganaraska 2023/08252023-08282023/23  08  25  09  12/442.mp4,Multiple_Species,0,"Chinook, Atlantic, Chinook w/lamprey wound, poor contrast on fins",0,1,,train,,Ganaraska__Ganaraska 2023__08252023-08282023__23  08  25  09  12__442,,,,M.Ford,,,
\Ganaraska\08252023-08282023\23 08 25 09 12\443.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\08252023-08282023\23 08 25 09 12\443.mp4,/data/remora/Ganaraska/Ganaraska 2023/08252023-08282023/23  08  25  09  12/443.mp4,Multiple_Species,0,"Chinook w/lamprey wound, Atlantic tail, Chinook, poor contrast on fins",0,1,,train,,Ganaraska__Ganaraska 2023__08252023-08282023__23  08  25  09  12__443,,,,M.Ford,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/41.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/41.mp4,Rainbow Trout,1,lamprey,1,1,1,train,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__41,2025-06-19,,,M.Ford,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/72.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/72.mp4,Rainbow Trout,1,lamprey good example,1,1,1,train,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__72,2025-06-19,,,M.Ford,,,
/Ganaraska/Ganaraska 2024/11122024-11222024/24 11 12 15 20/166.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11122024-11222024/24  11  12  15  20/166.mp4,Rainbow Trout,1,lamprey - big rainbow!,1,1,1,train,Bushra,Ganaraska__Ganaraska 2024__11122024-11222024__24  11  12  15  20__166,2025-06-19,,,M.Ford,,,
\Ganaraska\07312023-08032023\23 07 31 11 51\26.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07312023-08032023\23 07 31 11 51\26.mp4,/data/remora/Ganaraska/Ganaraska 2023/07312023-08032023/23  07  31  11  51/26.mp4,Atlantic Salmon,0,Atlantic and outmigrant,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07312023-08032023__23  07  31  11  51__26,,,,,,,
\Credit\05122023-05232023\23 05 12 10 40\4.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\05122023-05232023\23 05 12 10 40\4.mp4,/data/remora/Credit/2023/05122023-05232023/23  05  12  10  40/4.mp4,Atlantic Salmon,1,,1,1,1,train,Bushra,Credit__2023__05122023-05232023__23  05  12  10  40__4,,,,,,,
